item_id,group_id,item_name,unit,price_per_slot,price_once_yen,requires_item_ids,notes,is_countable,is_power_item
pa_c,audio_c,拡声装置C（マイク・スタンド各1本含）,式,5000,0,,（小集会室・大会議室）,1,0
pa_d,audio_d,拡声装置D（マイク・スタンド各1本含）,式,3000,0,,（第6〜8会議室を全て利用した場合）,1,0
mic_wired,audio_mic,有線マイク,台,1000,0,pa_c|pa_d,（拡声装置C、D別途要）,1,0
mic_wireless,audio_mic,ワイヤレスマイク,台,1500,0,pa_c|pa_d,（拡声装置C、D別途要）,1,0
mic_stand,audio_mic,マイクスタンド,台,200,0,pa_c|pa_d,,1,0
projector_c,common,ビデオプロジェクターC,台,2000,0,,,1,0
screen_b1,common,スクリーンB1（床置式）,台,1000,0,,80インチ,1,0
screen_b2,common,スクリーンB2（床置式）,台,1000,0,,100インチ,1,0
laser_pointer,common,レーザーポインター,台,300,0,,,1,0
tv,common,テレビ,台,500,0,,,1,0
dvd,common,ビデオデッキ/DVDデッキ,台,500,0,,（再生のみ）,1,0
podium,common,司会台（演台）,台,500,0,,,1,0
flower_stand,common,花台,台,500,0,,,1,0
power_1kw,power,電源使用料,kw,300,0,,（1kw毎）,1,1
pa_a,hall_big_sound,拡声装置A,式,7000,0,,マイク1本（有線/ワイヤレスのいずれか）・スタンド付,1,0
wireless_a,hall_big_sound,ワイヤレスマイクA,台,2000,0,pa_a,（拡声装置A 別途必要）,1,0
hallbig_wired_mic_a,hall_big_sound,有線マイクA,台,1000,0,pa_a,（拡声装置A 別途必要）,1,0
hallbig_mic_stand_a,hall_big_sound,マイクスタンドA,台,200,0,pa_a,,1,0
projector_a,hall_big,ビデオプロジェクターA,台,5000,0,,,1,0
screen_a,hall_big,スクリーンA,台,3000,0,,250インチ,1,0
par_light,hall_mid,パーライト,台,400,0,,,1,0
pinspot_light_c,hall_mid,ピンスポットライトC,台,1000,0,,（舞台設備技術者 要）,1,0
pa_b,hall_mid,拡声装置B,式,6000,0,,マイク1本（有線/ワイヤレスのいずれか）・スタンド付,1,0
mid_wireless_mic_a,hall_mid,ワイヤレスマイクA,台,2000,0,pa_b,（拡声装置B 別途必要）,1,0
mid_wired_mic_a,hall_mid,有線マイクA,台,1000,0,pa_b,（拡声装置B 別途必要）,1,0
mid_mic_stand_a,hall_mid,マイクスタンドA,台,200,0,pa_b,,1,0
proj_b,hall_mid,プロジェクターB,台,3000,0,,,1,0
screen_b3,hall_mid,スクリーンB3（掛図式）,台,1000,0,,150インチ,1,0
mid_gold_screen,hall_mid,金屏風,双,3000,0,,（舞台設備技術者 要）,1,0
mid_program_flipper,hall_mid,プログラムめくり台,台,200,0,,（舞台設備技術者 要）,1,0
mid_display_board,hall_mid,展示板,台,200,0,,最大25枚まで／180cm×90cm（縦×横）,1,0
sign_hanging_full,stage_props,吊り看板（文字入）,式,0,30480,,,1,0
sign_hanging_base,stage_props,吊り看板（台のみ）,式,0,4400,,,1,0
sign_standing_full,stage_props,立て看板（文字入）,式,0,17280,,,1,0
sign_standing_base,stage_props,立て看板（台のみ）,式,0,2200,,,1,0
mid_stageprops_program,stage_props,式次第,枚,0,19380,,パネル900mm×1800mm／楷書体・黒文字,1,0
mid_stageprops_flipper,stage_props,めくり,枚,0,3670,,ユポ紙1200mm×450mm／楷書体・黒文字,1,0
mid_stageprops_table_paper,stage_props,机垂れ紙,枚,0,1940,,ユポ紙600mm×300mm／角ゴシック体・黒文字,1,0
mid_stageprops_slogan,stage_props,スローガン,枚,0,14150,,ユポ紙約3000mm×900mm／楷書体・黒文字,1,0
