room,day_type,price_type,slot,amount
大集会室,平日,通常,午前,50000
大集会室,平日,通常,午前-午後,130000
大集会室,平日,通常,午後,80000
大集会室,平日,通常,午後-夜間,150000
大集会室,平日,通常,夜間,70000
大集会室,平日,通常,全日,180000
大集会室,平日,通常,延長30分,10000
控室1,平日,通常,午前,900
控室1,平日,通常,午前-午後,2300
控室1,平日,通常,午後,1400
控室1,平日,通常,午後-夜間,2700
控室1,平日,通常,夜間,1300
控室1,平日,通常,全日,3200
控室1,平日,通常,延長30分,200
控室2,平日,通常,午前,1800
控室2,平日,通常,午前-午後,4600
控室2,平日,通常,午後,2800
控室2,平日,通常,午後-夜間,5300
控室2,平日,通常,夜間,2500
控室2,平日,通常,全日,6400
控室2,平日,通常,延長30分,400
中集会室,平日,通常,午前,27300
中集会室,平日,通常,午前-午後,71000
中集会室,平日,通常,午後,43700
中集会室,平日,通常,午後-夜間,82000
中集会室,平日,通常,夜間,38300
中集会室,平日,通常,全日,98400
中集会室,平日,通常,延長30分,5500
小集会室,平日,通常,午前,13900
小集会室,平日,通常,午前-午後,36200
小集会室,平日,通常,午後,22300
小集会室,平日,通常,午後-夜間,41800
小集会室,平日,通常,夜間,19500
小集会室,平日,通常,全日,50200
小集会室,平日,通常,延長30分,2800
特別室,平日,通常,午前,23800
特別室,平日,通常,午前-午後,61900
特別室,平日,通常,午後,38100
特別室,平日,通常,午後-夜間,71500
特別室,平日,通常,夜間,33400
特別室,平日,通常,全日,85800
特別室,平日,通常,延長30分,4800
大会議室,平日,通常,午前,6800
大会議室,平日,通常,午前-午後,17700
大会議室,平日,通常,午後,10900
大会議室,平日,通常,午後-夜間,20400
大会議室,平日,通常,夜間,9500
大会議室,平日,通常,全日,24500
大会議室,平日,通常,延長30分,1400
第1会議室,平日,通常,午前,1600
第1会議室,平日,通常,午前-午後,4100
第1会議室,平日,通常,午後,2500
第1会議室,平日,通常,午後-夜間,4700
第1会議室,平日,通常,夜間,2200
第1会議室,平日,通常,全日,5700
第1会議室,平日,通常,延長30分,400
第2会議室,平日,通常,午前,1600
第2会議室,平日,通常,午前-午後,4100
第2会議室,平日,通常,午後,2500
第2会議室,平日,通常,午後-夜間,4700
第2会議室,平日,通常,夜間,2200
第2会議室,平日,通常,全日,5700
第2会議室,平日,通常,延長30分,400
第3会議室,平日,通常,午前,1600
第3会議室,平日,通常,午前-午後,4100
第3会議室,平日,通常,午後,2500
第3会議室,平日,通常,午後-夜間,4700
第3会議室,平日,通常,夜間,2200
第3会議室,平日,通常,全日,5700
第3会議室,平日,通常,延長30分,400
第4会議室,平日,通常,午前,2300
第4会議室,平日,通常,午前-午後,5900
第4会議室,平日,通常,午後,3600
第4会議室,平日,通常,午後-夜間,6800
第4会議室,平日,通常,夜間,3200
第4会議室,平日,通常,全日,8200
第4会議室,平日,通常,延長30分,500
第5会議室,平日,通常,午前,1600
第5会議室,平日,通常,午前-午後,4100
第5会議室,平日,通常,午後,2500
第5会議室,平日,通常,午後-夜間,4700
第5会議室,平日,通常,夜間,2200
第5会議室,平日,通常,全日,5700
第5会議室,平日,通常,延長30分,400
第6会議室,平日,通常,午前,1900
第6会議室,平日,通常,午前-午後,5000
第6会議室,平日,通常,午後,3100
